Metagene,Cell type
CCR7,Chemokine receptor
CCR8,Chemokine receptor
CCR9,Chemokine receptor
CCR10,Chemokine receptor
CXCR1,Chemokine receptor
CXCR2,Chemokine receptor
CXCR3,Chemokine receptor
CXCR4,Chemokine receptor
CXCR5,Chemokine receptor
CXCR6,Chemokine receptor
XCR1,Chemokine receptor
CX3CR1,Chemokine receptor
B2M,MHCI
HLA-A,MHCI
HLA-B,MHCI
HLA-C,MHCI
NLRC5,MHCI
TAP1,MHCI
TAP2,MHCI
TAPBP,MHCI
CIITA,MHCII
HLA-DMA,MHCII
HLA-DMB,MHCII
HLA-DPA1,MHCII
HLA-DPB1,MHCII
HLA-DQA1,MHCII
HLA-DQB1,MHCII
HLA-DRA,MHCII
HLA-DRB1,MHCII
C10orf54,APC co inhibition
CD274,APC co inhibition
LGALS9,APC co inhibition
PDCD1LG2,APC co inhibition
PVRL3,APC co inhibition
CD40,APC co stimulation
CD58,APC co stimulation
CD70,APC co stimulation
ICOSLG,APC co stimulation
SLAMF1,APC co stimulation
TNFSF14,APC co stimulation
TNFSF15,APC co stimulation
TNFSF18,APC co stimulation
TNFSF4,APC co stimulation
TNFSF8,APC co stimulation
TNFSF9,APC co stimulation
DDX4,Type I IFN Reponse
IFIT1,Type I IFN Reponse
IFIT2,Type I IFN Reponse
IFIT3,Type I IFN Reponse
IRF7,Type I IFN Reponse
ISG20,Type I IFN Reponse
MX1,Type I IFN Reponse
MX2,Type I IFN Reponse
RSAD2,Type I IFN Reponse
TNFSF10,Type I IFN Reponse
GPR146,Type II IFN Reponse
SELP,Type II IFN Reponse
AHR,Type II IFN Reponse
AEBP1,Invasion
AKR1B1,Invasion
AMD1,Invasion
SLC25A5,Invasion
ATP5PB,Invasion
BAG1,Invasion
BGN,Invasion
C1QB,Invasion
CALD1,Invasion
CAPG,Invasion
CCNE1,Invasion
CDH11,Invasion
CKS1B,Invasion
CKS2,Invasion
COL1A1,Invasion
COL1A2,Invasion
COL3A1,Invasion
COL5A1,Invasion
COL5A2,Invasion
COL6A2,Invasion
COL6A3,Invasion
COL10A1,Invasion
COL11A1,Invasion
COMP,Invasion
CSE1L,Invasion
VCAN,Invasion
CTSK,Invasion
DAB2,Invasion
DDX5,Invasion
EDNRA,Invasion
FAP,Invasion
FBN1,Invasion
FN1,Invasion
GNAS,Invasion
H2AFZ,Invasion
HMGB2,Invasion
HNRNPU,Invasion
HSD17B4,Invasion
CYR61,Invasion
INHBA,Invasion
LAMB1,Invasion
LAMC1,Invasion
LGALS1,Invasion
LOX,Invasion
LOXL2,Invasion
LUM,Invasion
MMP2,Invasion
MMP11,Invasion
HNRNPM,Invasion
NDUFB7,Invasion
YBX1,Invasion
PDGFRB,Invasion
PLAU,Invasion
PRRX1,Invasion
PNN,Invasion
PPIC,Invasion
PROS1,Invasion
PSMA2,Invasion
PSMB4,Invasion
RGS4,Invasion
SNAI2,Invasion
SPOCK1,Invasion
TGFBI,Invasion
THBS2,Invasion
THY1,Invasion
TNFAIP6,Invasion
UBE2V2,Invasion
ADAM12,Invasion
MFAP5,Invasion
ITGBL1,Invasion
TP53I3,Invasion
NUAK1,Invasion
HNRNPDL,Invasion
TXNDC9,Invasion
LRRC17,Invasion
IFI30,Invasion
POSTN,Invasion
CBX1,Invasion
NID2,Invasion
RRAS2,Invasion
RALY,Invasion
SEPHS2,Invasion
HEY1,Invasion
MXRA5,Invasion
OLFML2B,Invasion
TMEM158,Invasion
WWTR1,Invasion
GREM1,Invasion
NOX4,Invasion
CLEC4A,Invasion
COPZ2,Invasion
ASPN,Invasion
CEMIP,Invasion
CRISPLD2,Invasion
TUBB6,Invasion
LRRC15,Invasion
TUBB,Invasion
ACKR3,Metastasis
AFP,Metastasis
AGR2,Metastasis
AKT1,Metastasis
ALDH1A1,Metastasis
ANGPTL4,Metastasis
ANXA1,Metastasis
ANXA2,Metastasis
AQP5,Metastasis
ATF3,Metastasis
AURKA,Metastasis
AXL,Metastasis
B2M,Metastasis
BMI1,Metastasis
BMP2,Metastasis
BRAF,Metastasis
BSG,Metastasis
CA9,Metastasis
CCDC88A,Metastasis
CCND1,Metastasis
CCR7,Metastasis
CD24,Metastasis
CD274,Metastasis
CD44,Metastasis
CDCP1,Metastasis
CDH17,Metastasis
CDH2,Metastasis
CEACAM1,Metastasis
CEACAM5,Metastasis
CLIC1,Metastasis
CRP,Metastasis
CTGF,Metastasis
CTNND1,Metastasis
CTSB,Metastasis
CTSK,Metastasis
CTSL,Metastasis
CTTN,Metastasis
CXCL12,Metastasis
CXCL2,Metastasis
CXCL8,Metastasis
CXCR2,Metastasis
CYR61,Metastasis
DDR2,Metastasis
EGF,Metastasis
EGFR,Metastasis
EGR1,Metastasis
EPAS1,Metastasis
EPCAM,Metastasis
ERBB2,Metastasis
ERBB3,Metastasis
ESR1,Metastasis
ESR2,Metastasis
EZH2,Metastasis
EZR,Metastasis
F2RL1,Metastasis
FGFR1,Metastasis
FLOT2,Metastasis
FLT1,Metastasis
FLT4,Metastasis
FN1,Metastasis
FOXC2,Metastasis
FOXM1,Metastasis
GLI1,Metastasis
HGF,Metastasis
HIF1A,Metastasis
HMGA1,Metastasis
HMGA2,Metastasis
HPSE,Metastasis
ID1,Metastasis
IDO1,Metastasis
IGF1R,Metastasis
IGF2BP3,Metastasis
IL6,Metastasis
ITGA3,Metastasis
ITGA5,Metastasis
ITGA6,Metastasis
ITGAV,Metastasis
ITGB1,Metastasis
ITGB3,Metastasis
JAG1,Metastasis
KDR,Metastasis
KRAS,Metastasis
KRT19,Metastasis
L1CAM,Metastasis
LAMC2,Metastasis
LASP1,Metastasis
LGALS3,Metastasis
LOX,Metastasis
LOXL2,Metastasis
MACC1,Metastasis
MCAM,Metastasis
MDM2,Metastasis
MET,Metastasis
MIF,Metastasis
MKI67,Metastasis
MME,Metastasis
MMP1,Metastasis
MMP11,Metastasis
MMP13,Metastasis
MMP14,Metastasis
MMP2,Metastasis
MMP3,Metastasis
MMP7,Metastasis
MMP9,Metastasis
MSN,Metastasis
MST1R,Metastasis
MTA1,Metastasis
MTDH,Metastasis
MUC1,Metastasis
MYC,Metastasis
NEDD9,Metastasis
NOTCH1,Metastasis
NTRK2,Metastasis
PCNA,Metastasis
PDGFRA,Metastasis
PDPN,Metastasis
PIK3CA,Metastasis
PKM,Metastasis
PLAU,Metastasis
PLAUR,Metastasis
POSTN,Metastasis
PRKCI,Metastasis
PROM1,Metastasis
PSCA,Metastasis
PTGS2,Metastasis
PTHLH,Metastasis
PTK2,Metastasis
PTP4A3,Metastasis
PTTG1,Metastasis
PXN,Metastasis
RAB25,Metastasis
RAC1,Metastasis
RELA,Metastasis
RHOC,Metastasis
ROCK1,Metastasis
S100A4,Metastasis
SATB1,Metastasis
SDCBP,Metastasis
SELE,Metastasis
SELP,Metastasis
SLC2A1,Metastasis
SNAI1,Metastasis
SNAI2,Metastasis
SNCG,Metastasis
SOX4,Metastasis
SPARC,Metastasis
SPP1,Metastasis
SRC,Metastasis
STAT3,Metastasis
STMN1,Metastasis
TERT,Metastasis
TGFBI,Metastasis
TGM2,Metastasis
TIMP1,Metastasis
TMPRSS4,Metastasis
TNFSF11,Metastasis
TYMP,Metastasis
VCAN,Metastasis
VEGFA,Metastasis
VEGFC,Metastasis
VEGFD,Metastasis
VIM,Metastasis
WASF3,Metastasis
YAP1,Metastasis
ZEB1,Metastasis
ZEB2,Metastasis
AURKA,Proliferation
AURKB,Proliferation
BUB1,Proliferation
CCNB1,Proliferation
CCND1,Proliferation
CCNE1,Proliferation
CDK2,Proliferation
CETN3,Proliferation
E2F1,Proliferation
ESCO2,Proliferation
MCM2,Proliferation
MCM6,Proliferation
MKI67,Proliferation
MYBL2,Proliferation
PLK1,Proliferation
ABL1,Differentiation
ACVR1,Differentiation
ADA,Differentiation
AGT,Differentiation
AKT1,Differentiation
ANXA1,Differentiation
ATOH1,Differentiation
ATP2B2,Differentiation
ATP7A,Differentiation
AXL,Differentiation
BCL2,Differentiation
BCL3,Differentiation
PRDM1,Differentiation
BMP2,Differentiation
BMP6,Differentiation
BRAF,Differentiation
CASP8,Differentiation
CAV3,Differentiation
RUNX2,Differentiation
RUNX1,Differentiation
CCNB1,Differentiation
CD86,Differentiation
CDK1,Differentiation
CDC42,Differentiation
CDH2,Differentiation
CEBPA,Differentiation
CEBPB,Differentiation
CREB1,Differentiation
MAPK14,Differentiation
CSF1,Differentiation
CSF1R,Differentiation
CSF2,Differentiation
DRD1,Differentiation
EDN3,Differentiation
EDNRB,Differentiation
EPHA2,Differentiation
EMX1,Differentiation
EP300,Differentiation
ERBB4,Differentiation
ERCC2,Differentiation
FGF8,Differentiation
FGFR1,Differentiation
FGFR2,Differentiation
FOXC2,Differentiation
FLT3LG,Differentiation
MTOR,Differentiation
GATA1,Differentiation
GATA4,Differentiation
GATA6,Differentiation
GDNF,Differentiation
GNAS,Differentiation
HDAC2,Differentiation
NCKAP1L,Differentiation
NRG1,Differentiation
HHEX,Differentiation
HIF1A,Differentiation
HMGB1,Differentiation
FOXA1,Differentiation
HOXA5,Differentiation
IGF1,Differentiation
IL2,Differentiation
IL4R,Differentiation
IL11,Differentiation
IL12B,Differentiation
IL15,Differentiation
ILK,Differentiation
INSM1,Differentiation
IRF4,Differentiation
JAG2,Differentiation
JUN,Differentiation
JUNB,Differentiation
KIT,Differentiation
LAMB2,Differentiation
LEP,Differentiation
LGALS1,Differentiation
LGALS9,Differentiation
LHX1,Differentiation
LIF,Differentiation
LMNA,Differentiation
LYN,Differentiation
SMAD4,Differentiation
MEF2A,Differentiation
MEF2C,Differentiation
KITLG,Differentiation
MMP14,Differentiation
MYF5,Differentiation
MYF6,Differentiation
MYH9,Differentiation
MYO7A,Differentiation
MYOD1,Differentiation
MYOG,Differentiation
NFATC2,Differentiation
NFIB,Differentiation
NTRK1,Differentiation
NTRK2,Differentiation
PAFAH1B1,Differentiation
PAX2,Differentiation
PF4,Differentiation
PITX2,Differentiation
PLS3,Differentiation
POU4F3,Differentiation
PPARG,Differentiation
MAPK3,Differentiation
MAP2K1,Differentiation
PROX1,Differentiation
PSEN1,Differentiation
PTGER4,Differentiation
PTN,Differentiation
PTPN11,Differentiation
PTPRZ1,Differentiation
RAC1,Differentiation
RAG1,Differentiation
RB1,Differentiation
RELB,Differentiation
RXRA,Differentiation
CCL19,Differentiation
SHOX2,Differentiation
SNAI1,Differentiation
SOD1,Differentiation
SOX4,Differentiation
SOX10,Differentiation
SOX11,Differentiation
SP3,Differentiation
SPI1,Differentiation
SRF,Differentiation
STAT5B,Differentiation
STK11,Differentiation
SYK,Differentiation
TAL1,Differentiation
TGFB2,Differentiation
TGFBR2,Differentiation
THRA,Differentiation
NKX2-1,Differentiation
TRAF6,Differentiation
TSC1,Differentiation
VEGFA,Differentiation
WNT7A,Differentiation
WNT8A,Differentiation
WNT11,Differentiation
WT1,Differentiation
ZAP70,Differentiation
EOMES,Differentiation
SEMA7A,Differentiation
TNFSF11,Differentiation
TP63,Differentiation
TNFSF9,Differentiation
FADD,Differentiation
NRP1,Differentiation
PROM1,Differentiation
SLC9A3R1,Differentiation
ATG5,Differentiation
SLC4A7,Differentiation
MAML1,Differentiation
ZEB2,Differentiation
TSPAN2,Differentiation
SEC24B,Differentiation
BATF,Differentiation
ZBTB1,Differentiation
KDM1A,Differentiation
KDM6B,Differentiation
HEY2,Differentiation
SCRIB,Differentiation
TENM4,Differentiation
BLOC1S6,Differentiation
FOXP1,Differentiation
BMP10,Differentiation
IL20,Differentiation
CDON,Differentiation
WDPCP,Differentiation
LEF1,Differentiation
IL23A,Differentiation
CLIC5,Differentiation
DLL4,Differentiation
TMEM100,Differentiation
MCOLN3,Differentiation
SOX6,Differentiation
MESP1,Differentiation
CYP26B1,Differentiation
FAM20C,Differentiation
OVOL2,Differentiation
SAV1,Differentiation
SEMA4A,Differentiation
BCL11B,Differentiation
NKAP,Differentiation
PDZD7,Differentiation
WNT5B,Differentiation
DCSTAMP,Differentiation
GDPD5,Differentiation
SLITRK6,Differentiation
MYLK3,Differentiation
TMC1,Differentiation
OCSTAMP,Differentiation
IL31RA,Differentiation
IL23R,Differentiation
GDF7,Differentiation
NKX2-3,Differentiation
STRC,Differentiation
ARX,Differentiation
GSX2,Differentiation
LHFPL5,Differentiation
ATP11C,Differentiation
PLIN2,Hypoxia
ADM,Hypoxia
ADORA2B,Hypoxia
AK4,Hypoxia
ALDOC,Hypoxia
ANG,Hypoxia
ATF3,Hypoxia
BNIP3,Hypoxia
BNIP3L,Hypoxia
CA9,Hypoxia
CA12,Hypoxia
CAV1,Hypoxia
CCNG2,Hypoxia
KLF6,Hypoxia
DUSP1,Hypoxia
EFNA1,Hypoxia
ENO2,Hypoxia
F3,Hypoxia
FOS,Hypoxia
NR3C1,Hypoxia
GYS1,Hypoxia
HIF1A,Hypoxia
HK1,Hypoxia
HK2,Hypoxia
HMOX1,Hypoxia
IGFBP3,Hypoxia
IL6,Hypoxia
JUN,Hypoxia
LDHA,Hypoxia
LOX,Hypoxia
MIF,Hypoxia
MXI1,Hypoxia
NFIL3,Hypoxia
P4HA1,Hypoxia
SERPINE1,Hypoxia
PAM,Hypoxia
PDGFB,Hypoxia
PDK1,Hypoxia
PFKFB3,Hypoxia
PFKFB4,Hypoxia
PFKP,Hypoxia
PGF,Hypoxia
PGK1,Hypoxia
PGM1,Hypoxia
PLAUR,Hypoxia
PLOD2,Hypoxia
PPP1R3C,Hypoxia
RNASE4,Hypoxia
SAT1,Hypoxia
SLC2A1,Hypoxia
SLC2A3,Hypoxia
SPAG4,Hypoxia
STC1,Hypoxia
TGFBI,Hypoxia
TPI1,Hypoxia
VEGFA,Hypoxia
VLDLR,Hypoxia
CXCR4,Hypoxia
PPFIA4,Hypoxia
BHLHE40,Hypoxia
KLF7,Hypoxia
STC2,Hypoxia
SAP30,Hypoxia
P4HA2,Hypoxia
STBD1,Hypoxia
AKAP12,Hypoxia
CITED2,Hypoxia
NDRG1,Hypoxia
TXNIP,Hypoxia
ZNF292,Hypoxia
JMJD6,Hypoxia
MAFF,Hypoxia
FAM162A,Hypoxia
HILPDA,Hypoxia
ERO1A,Hypoxia
ANGPTL4,Hypoxia
DDIT4,Hypoxia
EGLN1,Hypoxia
KLHL24,Hypoxia
TMEM45A,Hypoxia
KDM3A,Hypoxia
ZNF395,Hypoxia
EGLN3,Hypoxia
ALOX5,Quiescence
ANXA5,Quiescence
AREG,Quiescence
CREM,Quiescence
CRHBP,Quiescence
EMP1,Quiescence
EVI2A,Quiescence
GBP2,Quiescence
CXCL1,Quiescence
CXCL2,Quiescence
CXCL3,Quiescence
GUCY1A1,Quiescence
H1F0,Quiescence
HBB,Quiescence
HLX,Quiescence
IL1B,Quiescence
CXCL8,Quiescence
INHBA,Quiescence
CXCL10,Quiescence
JUN,Quiescence
TM4SF1,Quiescence
MLLT3,Quiescence
NR4A2,Quiescence
SERPINB2,Quiescence
PCDH9,Quiescence
PMCH,Quiescence
PTGS2,Quiescence
PTPRC,Quiescence
RGS1,Quiescence
RHAG,Quiescence
TSPAN31,Quiescence
CCL8,Quiescence
CCL19,Quiescence
CCL20,Quiescence
CXCL6,Quiescence
CXCL11,Quiescence
CXCL5,Quiescence
TRA2B,Quiescence
SPTBN1,Quiescence
SVIL,Quiescence
TCF7L2,Quiescence
TFPI,Quiescence
TGFB1I1,Quiescence
TPBG,Quiescence
TNFSF4,Quiescence
FXR1,Quiescence
NRIP1,Quiescence
HIST1H2AC,Quiescence
HIST2H2BE,Quiescence
PPFIBP1,Quiescence
TNFSF10,Quiescence
IL18R1,Quiescence
VNN1,Quiescence
CYTIP,Quiescence
OPTN,Quiescence
MPZL2,Quiescence
CXCL13,Quiescence
NFAT5,Quiescence
GLIPR1,Quiescence
RBPMS,Quiescence
FNBP1,Quiescence
MAFF,Quiescence
TRA2A,Quiescence
TPSB2,Quiescence
ZBTB10,Quiescence
HIST1H2BK,Quiescence
AFMID,Stemness
AFP,Stemness
ANPEP,Stemness
APC,Stemness
AQP1,Stemness
ASCL1,Stemness
ASCL2,Stemness
AXIN2,Stemness
AZGP1,Stemness
BAZ2B,Stemness
BMI1,Stemness
BOC,Stemness
C6orf62,Stemness
CA2,Stemness
CAMK2N1,Stemness
CCL5,Stemness
CCND2,Stemness
CD200,Stemness
CD24,Stemness
CD33,Stemness
CD38,Stemness
CD44,Stemness
CDCA7,Stemness
CDK6,Stemness
CEBPA,Stemness
CFTR,Stemness
CHD7,Stemness
CORO1C,Stemness
CXCL2,Stemness
DBX1,Stemness
DBX2,Stemness
DNMT3A,Stemness
DPP4,Stemness
EBF1,Stemness
EEF1A1,Stemness
EGFR,Stemness
EIF4B,Stemness
EMX1,Stemness
EMX2,Stemness
ENG,Stemness
EPHB2,Stemness
ETS2,Stemness
ETV1,Stemness
EVI2A,Stemness
EZH2,Stemness
FABP7,Stemness
FAM84A,Stemness
FBLIM1,Stemness
FBXO27,Stemness
FERMT1,Stemness
FOXA2,Stemness
FOXA3,Stemness
FOXG1,Stemness
GATA1,Stemness
GATA2,Stemness
GATA3,Stemness
GATA4,Stemness
GFAP,Stemness
GFI1,Stemness
GLI1,Stemness
GPC3,Stemness
GPM6A,Stemness
GPSM2,Stemness
GPX2,Stemness
H19,Stemness
H3F3B,Stemness
HACD3,Stemness
HAPLN1,Stemness
HEPN1,Stemness
HES1,Stemness
HNRNPH1,Stemness
HNRNPL,Stemness
HOPX,Stemness
ICAM1,Stemness
IDH1,Stemness
IKZF1,Stemness
IRX3,Stemness
ITGAM,Stemness
KDR,Stemness
KIT,Stemness
KLK10,Stemness
KRT14,Stemness
LATS2,Stemness
LGR5,Stemness
LOH12CR2,Stemness
LRIG1,Stemness
LY6D,Stemness
LYZ,Stemness
MALAT1,Stemness
MBOAT1,Stemness
MESP1,Stemness
MESP2,Stemness
METTL3,Stemness
MLLT10,Stemness
MME,Stemness
MYB,Stemness
MYC,Stemness
NANOG,Stemness
NCAM1,Stemness
NEK5,Stemness
NELL2,Stemness
NFE2,Stemness
NFIA,Stemness
NFIB,Stemness
NKX2-5,Stemness
NODAL,Stemness
NT5E,Stemness
OLFM4,Stemness
OPHN1,Stemness
ORC6,Stemness
PABPC1,Stemness
PAX6,Stemness
POU5F1,Stemness
PROM1,Stemness
PTK7,Stemness
PTMA,Stemness
PTPRC,Stemness
PTPRG,Stemness
PTPRO,Stemness
PTPRS,Stemness
PTPRZ1,Stemness
QPCTL,Stemness
RAB42,Stemness
RAMP2-AS1,Stemness
RBM6,Stemness
RGMB,Stemness
RNF43,Stemness
RUNX1,Stemness
SET,Stemness
SLC12A2,Stemness
SMAD2,Stemness
SMOC2,Stemness
SOX1,Stemness
SOX11,Stemness
SOX17,Stemness
SOX2,Stemness
SOX3,Stemness
SOX4,Stemness
SOX9,Stemness
SPDYE1,Stemness
SPDYE5,Stemness
SPHKAP,Stemness
SRGAP2C,Stemness
STMN1,Stemness
STMN2,Stemness
TAL1,Stemness
TATDN3,Stemness
TCF12,Stemness
TCF4,Stemness
TDGF1,Stemness
TFDP2,Stemness
TFRC,Stemness
THY1,Stemness
TNFAIP8L1,Stemness
TOX3,Stemness
TRA2A,Stemness
TSPAN6,Stemness
UGT8,Stemness
VEGFA,Stemness
ZBTB8A,Stemness
ZNF793,Stemness
ABCG2,Stemness
ALDH1A1,Stemness
ALDH1A3,Stemness
DNER,Stemness
MET,Stemness
APAF1,Apoptosis
ATF4,Apoptosis
ATM,Apoptosis
BAK1,Apoptosis
BID,Apoptosis
BOK,Apoptosis
BRCA2,Apoptosis
CASP2,Apoptosis
CASP4,Apoptosis
CASP9,Apoptosis
DAPK3,Apoptosis
DDIT3,Apoptosis
E2F2,Apoptosis
EP300,Apoptosis
GSN,Apoptosis
IFI16,Apoptosis
INHBA,Apoptosis
KRT8,Apoptosis
LGALS9,Apoptosis
NFATC4,Apoptosis
P2RX7,Apoptosis
PMAIP1,Apoptosis
POLB,Apoptosis
PPP2R1B,Apoptosis
PPP2R5C,Apoptosis
SORT1,Apoptosis
SKIL,Apoptosis
STK3,Apoptosis
STK4,Apoptosis
TIMP3,Apoptosis
TNFRSF1A,Apoptosis
TNFRSF1B,Apoptosis
TP53BP2,Apoptosis
DYRK2,Apoptosis
CRADD,Apoptosis
BCL10,Apoptosis
AIFM1,Apoptosis
BCL2L11,Apoptosis
DNM1L,Apoptosis
BCAP31,Apoptosis
SIVA1,Apoptosis
MLLT11,Apoptosis
RIPK3,Apoptosis
SNW1,Apoptosis
PPP1R13B,Apoptosis
PHLDA3,Apoptosis
NUPR1,Apoptosis
BBC3,Apoptosis
CIDEB,Apoptosis
TNFRSF21,Apoptosis
PYCARD,Apoptosis
CDIP1,Apoptosis
G0S2,Apoptosis
SHISA5,Apoptosis
TNFRSF12A,Apoptosis
WWOX,Apoptosis
DDIT4,Apoptosis
USP28,Apoptosis
MOAP1,Apoptosis
AEN,Apoptosis
TMEM109,Apoptosis
APOPT1,Apoptosis
BMF,Apoptosis
DAB2IP,Apoptosis
DEDD2,Apoptosis
ST20,Apoptosis
BMP2,Inflammation
CD6,Inflammation
CEBPB,Inflammation
CCR7,Inflammation
CSF1,Inflammation
F3,Inflammation
F12,Inflammation
FCER1G,Inflammation
B4GALT1,Inflammation
FFAR2,Inflammation
CXCL1,Inflammation
CXCL2,Inflammation
CXCL3,Inflammation
ICAM1,Inflammation
IL1A,Inflammation
IL1B,Inflammation
IL6,Inflammation
CXCL8,Inflammation
IL12B,Inflammation
TNFRSF9,Inflammation
IL18,Inflammation
CXCL10,Inflammation
IRAK2,Inflammation
KLKB1,Inflammation
NFKB1,Inflammation
NFKB2,Inflammation
OLR1,Inflammation
OSM,Inflammation
SERPINE1,Inflammation
MAP2K3,Inflammation
PTGS2,Inflammation
PTX3,Inflammation
REL,Inflammation
RELA,Inflammation
RELB,Inflammation
S100A8,Inflammation
CCL2,Inflammation
CCL3,Inflammation
CCL4,Inflammation
CCL5,Inflammation
CCL7,Inflammation
CCL8,Inflammation
CCL18,Inflammation
CCL20,Inflammation
CCL23,Inflammation
CXCL6,Inflammation
CXCL11,Inflammation
THBS1,Inflammation
TLR2,Inflammation
TNF,Inflammation
TNFSF4,Inflammation
VCAM1,Inflammation
WNT5A,Inflammation
RIPK2,Inflammation
SPHK1,Inflammation
CCRL2,Inflammation
OSMR,Inflammation
RASGRP1,Inflammation
TNIP1,Inflammation
KDM6B,Inflammation
TLR7,Inflammation
IL23A,Inflammation
TNIP2,Inflammation
ZC3H12A,Inflammation
CCR2,Inflammation
ACOD1,Inflammation
JAG1,Inflammation
ATP2B1,Inflammation
CD80,Inflammation
CD44,Inflammation
CSF3,Inflammation
CD55,Inflammation
EDN1,Inflammation
EREG,Inflammation
ACSL1,Inflammation
FUT4,Inflammation
GCH1,Inflammation
GPC3,Inflammation
IL1R1,Inflammation
ITGB8,Inflammation
LIF,Inflammation
MARCKS,Inflammation
NFKBIA,Inflammation
NINJ1,Inflammation
SERPINB2,Inflammation
PLAUR,Inflammation
RGS16,Inflammation
SDC4,Inflammation
SLC1A2,Inflammation
FSCN1,Inflammation
STAT5A,Inflammation
TNFAIP2,Inflammation
BTG2,Inflammation
FOSL1,Inflammation
SNN,Inflammation
PLPP3,Inflammation
TNFSF9,Inflammation
IER3,Inflammation
SLC28A2,Inflammation
TRIP10,Inflammation
LITAF,Inflammation
NAMPT,Inflammation
KIF1B,Inflammation
DENND5A,Inflammation
ICOSLG,Inflammation
PPP1R15A,Inflammation
MAFF,Inflammation
HIPK2,Inflammation
G0S2,Inflammation
DRAM1,Inflammation
TSLP,Inflammation
RNF144B,Inflammation
BRCA1,DNA damage
MRE11,DNA damage
FOXN3,DNA damage
HIPK2,DNA damage
SP100,DNA damage
PSME4,DNA damage
RPS6KA6,DNA damage
TP63,DNA damage
GTSE1,DNA damage
PPP2R5C,DNA damage
TP73,DNA damage
CNOT4,DNA damage
DNAJA1,DNA damage
BAX,DNA damage
UIMC1,DNA damage
AURKA,DNA damage
CNOT3,DNA damage
PCBP4,DNA damage
TFAP4,DNA damage
E2F1,DNA damage
RGCC,DNA damage
RBL2,DNA damage
NBN,DNA damage
GML,DNA damage
BABAM1,DNA damage
CASP2,DNA damage
CDK5RAP3,DNA damage
CCND1,DNA damage
FOXM1,DNA damage
CDKN1B,DNA damage
CNOT2,DNA damage
ING4,DNA damage
CNOT6,DNA damage
TFDP2,DNA damage
NEK11,DNA damage
PSMD14,DNA damage
ARID3A,DNA damage
MAD2L2,DNA damage
GADD45A,DNA damage
SYF2,DNA damage
RPA2,DNA damage
PLAGL1,DNA damage
RBBP6,DNA damage
CDK2,DNA damage
CDKN1A,DNA damage
SOX4,DNA damage
CNOT1,DNA damage
PRMT1,DNA damage
BCL2L2,DNA damage
PCNA,DNA damage
RBM38,DNA damage
CCNB1,DNA damage
TAOK3,DNA damage
MDM2,DNA damage
CNOT6L,DNA damage
BRCA2,DNA damage
PML,DNA damage
FANCI,DNA damage
TP53,DNA damage
PMAIP1,DNA damage
CARM1,DNA damage
DTL,DNA damage
RPS27A,DNA damage
CNOT9,DNA damage
CCNA2,DNA damage
PLK2,DNA damage
TNKS1BP1,DNA damage
RPS3,DNA damage
ATM,DNA damage
CHEK1,DNA damage
HMGA2,DNA damage
UBC,DNA damage
CENPJ,DNA damage
XPC,DNA damage
CNOT8,DNA damage
BABAM2,DNA damage
CDC25C,DNA damage
CNOT11,DNA damage
BTG2,DNA damage
ZNF385A,DNA damage
USP1,DNA damage
ABRAXAS1,DNA damage
RNF168,DNA damage
SPIDR,DNA damage
E2F7,DNA damage
CRADD,DNA damage
CDK1,DNA damage
UBB,DNA damage
TRIAP1,DNA damage
RAD9A,DNA damage
KAT5,DNA damage
PLK3,DNA damage
ATR,DNA damage
SFN,DNA damage
HIC1,DNA damage
PIDD1,DNA damage
UBE2N,DNA damage
NPM1,DNA damage
CNOT10,DNA damage
CHEK2,DNA damage
FOXO4,DNA damage
MUC1,DNA damage
BRCC3,DNA damage
BLM,DNA damage
TFDP1,DNA damage
MDM4,DNA damage
CNOT7,DNA damage
E2F4,DNA damage
UBA52,DNA damage
PRKDC,DNA damage
RAD52,DNA repair
POLR2J,DNA repair
LIG3,DNA repair
REV3L,DNA repair
BRCA1,DNA repair
ERCC1,DNA repair
MNAT1,DNA repair
MRE11,DNA repair
RFC1,DNA repair
TDP1,DNA repair
RRM2B,DNA repair
ERCC8,DNA repair
RFC2,DNA repair
POLD1,DNA repair
NTHL1,DNA repair
TP53BP1,DNA repair
POLB,DNA repair
XRCC1,DNA repair
XAB2,DNA repair
POLD3,DNA repair
XRCC5,DNA repair
RIF1,DNA repair
PALB2,DNA repair
SIRT1,DNA repair
POLR2E,DNA repair
POLR2F,DNA repair
POLE2,DNA repair
APEX1,DNA repair
POLI,DNA repair
POLA1,DNA repair
POLR2C,DNA repair
MPG,DNA repair
NBN,DNA repair
ERCC2,DNA repair
POLR2I,DNA repair
LIG1,DNA repair
RPA3,DNA repair
POLD2,DNA repair
RAD51C,DNA repair
GTF2H1,DNA repair
RAD51AP1,DNA repair
GTF2H3,DNA repair
RFC5,DNA repair
FANCE,DNA repair
RAD50,DNA repair
OGG1,DNA repair
FANCL,DNA repair
MAD2L2,DNA repair
RPA2,DNA repair
RAD23B,DNA repair
POLK,DNA repair
SMUG1,DNA repair
WRNIP1,DNA repair
XRCC3,DNA repair
MBD4,DNA repair
POLN,DNA repair
RPA1,DNA repair
PCNA,DNA repair
MUTYH,DNA repair
RFC3,DNA repair
CDK7,DNA repair
CCNH,DNA repair
DDB2,DNA repair
REV1,DNA repair
BRIP1,DNA repair
XPA,DNA repair
TDG,DNA repair
BRCA2,DNA repair
TP53,DNA repair
PARP1,DNA repair
RPS27A,DNA repair
